"section","table_index","row_index","col_1","col_2","col_3","col_4","col_5","col_6","col_7","col_8","col_9","col_10","col_11","col_12","col_13","col_14","col_15","col_16","col_17","col_18","col_19","col_20","col_21","col_22","col_23","col_24","col_25","col_26","col_27","col_28","col_29","col_30"
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","1","0","Lifestage/ age group","","Range (% of Energy)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","1","1","","Protein","Total Fat","Carbohydrate*","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","1","2","Infants, mo 0–5","5","40–60","35–55","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","1","3","6–11","8–15","30–40","45–62","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","1","4","Children, y 1–2","6–15","25–35","50–69","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","1","5","3–18","6–15","15–30","55–79","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","1","6","Adults, y ≥ 19","10–15","15–30","55–75","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","0","Life stage/ age group","M","Weight(kg)","F","M","Energy (kcal) F","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","1","Infants, mo 0–5","6.5","","6.0","620","560","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","2","6–11","9.0","","8.0","720","630","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","3","Children, y 1–2","12.0","","11.5","1,000","920","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","4","3–5","17.5","","17.0","1,350","1,260","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","5","6–9","23.0","","22.5","1,600","1,470","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","6","10–12","33.0","","36.0","2,060","1,980","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","7","13–15","48.5","","46.0","2,700","2,170","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","8","16–18","59.0","","51.5","3,010","2,280","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","9","Adults, y 19–29","60.5","","52.5","2,530","1,930","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","10","30–49","60.5","","52.5","2,420","1,870","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","11","50–59","60.5","","52.5","2,420","1,870","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","12","60–69","60.5","","52.5","2,140","1,610","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","13","≥ 70","60.5","","52.5","1,960","1,540","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","14","Pregnant","","","","","+300*","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended Energy Intakes per day Acceptable Macronutrient Distribution Ranges","2","15","Lactating","","","","","+500","","","","","","","","","","","","","","","","","","","","","","","",""
"Weight Energy Protein Essential Fatty Acids Dietary Fiber Water","3","0","Infants, mo","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Weight Energy Protein Essential Fatty Acids Dietary Fiber Water","3","1","0–5","6.5 6.0 620 560","9","","8","","0.5","","4.5","","-","","680","680","","","","","","","","","","","","","","","",""
"Weight Energy Protein Essential Fatty Acids Dietary Fiber Water","3","2","6–11","9.0 8.0 720 630","17","","15","","0.5","","4.5","","-","","890","890","","","","","","","","","","","","","","","",""
"Weight Energy Protein Essential Fatty Acids Dietary Fiber Water","3","3","Children, y","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
